model,layers,adapter,method,num_edits,post_neighborhood_acc,post_neighborhood_diff,post_neighborhood_success,post_ngram_entropy,post_paraphrase_acc,post_paraphrase_diff,post_paraphrase_success,post_reference_score,post_rewrite_acc,post_rewrite_diff,post_rewrite_success,post_score
DeepSeek-R1-Distill-Llama-8B,1-5,none,MEMIT,1,30.00 ± 0.00,13.60 ± 0.00,100.00 ± 0.00,267.90 ± 0.00,0.00 ± 0.00,0.55 ± 0.00,100.00 ± 0.00,16.97 ± 0.00,100.00 ± 0.00,99.58 ± 0.00,100.00 ± 0.00,100.00
DeepSeek-R1-Distill-Llama-8B,2-6,none,MEMIT,1,40.00 ± 0.00,13.46 ± 0.00,100.00 ± 0.00,267.43 ± 0.00,0.00 ± 0.00,6.78 ± 0.00,100.00 ± 0.00,16.25 ± 0.00,100.00 ± 0.00,98.88 ± 0.00,100.00 ± 0.00,100.00
DeepSeek-R1-Distill-Llama-8B,4-8,none,MEMIT,1,40.00 ± 0.00,13.89 ± 0.00,100.00 ± 0.00,263.67 ± 0.00,0.00 ± 0.00,16.36 ± 0.00,100.00 ± 0.00,15.91 ± 0.00,100.00 ± 0.00,84.73 ± 0.00,100.00 ± 0.00,100.00
DeepSeek-R1-Distill-Llama-8B,13-17,none,MEMIT,1,30.00 ± 0.00,11.11 ± 0.00,80.00 ± 0.00,265.56 ± 0.00,0.00 ± 0.00,9.09 ± 0.00,100.00 ± 0.00,11.25 ± 0.00,100.00 ± 0.00,97.88 ± 0.00,100.00 ± 0.00,92.31
DeepSeek-R1-Distill-Llama-8B,1-5,lora,MEMIT,10,17.00 ± 16.76,10.25 ± 9.35,72.00 ± 17.78,342.14 ± 87.92,45.00 ± 41.53,38.19 ± 32.02,90.00 ± 20.00,19.38 ± 6.83,100.00 ± 0.00,66.09 ± 27.30,100.00 ± 0.00,85.71
DeepSeek-R1-Distill-Llama-8B,1-5,none,MEMIT,10,13.00 ± 10.05,4.69 ± 10.17,61.00 ± 25.48,364.19 ± 108.36,60.00 ± 43.59,54.98 ± 38.85,100.00 ± 0.00,23.17 ± 6.23,100.00 ± 0.00,98.49 ± 2.12,100.00 ± 0.00,82.43
DeepSeek-R1-Distill-Llama-8B,2-6,none,MEMIT,10,18.00 ± 17.78,7.46 ± 9.42,71.00 ± 25.48,358.80 ± 105.32,65.00 ± 39.05,57.19 ± 33.28,100.00 ± 0.00,21.41 ± 5.73,100.00 ± 0.00,99.14 ± 0.86,100.00 ± 0.00,88.02
DeepSeek-R1-Distill-Llama-8B,4-8,none,MEMIT,10,16.00 ± 16.85,6.32 ± 9.33,70.00 ± 25.69,337.75 ± 127.56,85.00 ± 22.91,74.95 ± 21.36,100.00 ± 0.00,23.24 ± 12.90,100.00 ± 0.00,99.05 ± 1.77,100.00 ± 0.00,87.50
DeepSeek-R1-Distill-Llama-8B,13-17,none,MEMIT,10,13.00 ± 14.18,0.26 ± 10.93,58.00 ± 27.13,280.50 ± 104.75,80.00 ± 24.49,59.01 ± 29.79,95.00 ± 15.00,25.17 ± 17.34,100.00 ± 0.00,94.12 ± 12.48,100.00 ± 0.00,79.43
DeepSeek-R1-Distill-Llama-8B,1-5,lora,MEMIT,100,15.20 ± 23.09,8.84 ± 16.85,74.00 ± 27.71,360.32 ± 95.44,29.50 ± 35.42,20.60 ± 25.93,87.50 ± 29.47,16.55 ± 9.51,65.00 ± 47.70,48.17 ± 37.97,93.00 ± 25.51,84.05
DeepSeek-R1-Distill-Llama-8B,1-5,none,MEMIT,100,0.10 ± 0.99,0.01 ± 0.09,51.30 ± 32.58,260.70 ± 58.65,0.00 ± 0.00,0.01 ± 0.06,57.00 ± 43.02,4.05 ± 2.85,3.00 ± 17.06,0.16 ± 0.85,63.00 ± 48.28,56.70
DeepSeek-R1-Distill-Llama-8B,2-6,none,MEMIT,100,2.70 ± 7.05,0.44 ± 3.23,56.50 ± 33.75,310.12 ± 76.78,4.00 ± 13.56,1.92 ± 6.73,66.50 ± 38.11,7.21 ± 7.39,34.00 ± 47.37,20.71 ± 33.20,86.00 ± 34.70,67.62
DeepSeek-R1-Distill-Llama-8B,4-8,none,MEMIT,100,12.90 ± 19.09,4.52 ± 14.53,68.50 ± 33.15,291.35 ± 101.78,71.50 ± 35.54,58.72 ± 33.13,95.00 ± 16.58,23.58 ± 18.27,80.00 ± 40.00,75.76 ± 38.99,97.00 ± 17.06,84.66
DeepSeek-R1-Distill-Llama-8B,13-17,none,MEMIT,100,10.30 ± 15.00,3.07 ± 12.92,63.00 ± 32.33,311.00 ± 105.30,38.50 ± 38.64,24.42 ± 33.65,82.00 ± 28.74,19.94 ± 15.13,84.00 ± 36.66,78.94 ± 36.50,97.00 ± 17.06,78.17
DeepSeek-R1-Distill-Llama-8B,1-5,lora,MEMIT,1000,6.24 ± 13.96,4.11 ± 10.29,69.67 ± 30.82,362.94 ± 82.68,10.65 ± 24.58,4.37 ± 16.66,64.25 ± 42.24,15.75 ± 7.57,24.00 ± 42.71,14.83 ± 28.97,77.90 ± 41.49,70.17
DeepSeek-R1-Distill-Llama-8B,1-5,none,MEMIT,1000,0.00 ± 0.00,0.00 ± 0.00,49.87 ± 38.18,267.31 ± 57.86,0.00 ± 0.00,-0.01 ± 0.41,59.25 ± 43.27,4.12 ± 3.14,0.30 ± 5.47,0.11 ± 1.88,71.20 ± 45.28,58.85
