model,layers,adapter,method,num_edits,post_neighborhood_acc,post_paraphrase_acc,post_rewrite_acc
DeepSeek-R1-Distill-Llama-8B,1-5,none,MEMIT,1,33.33 ± 0.00,75.00 ± 0.00,50.00 ± 0.00
DeepSeek-R1-Distill-Llama-8B,2-6,none,MEMIT,1,33.33 ± 0.00,75.00 ± 0.00,50.00 ± 0.00
DeepSeek-R1-Distill-Llama-8B,4-8,none,MEMIT,1,33.33 ± 0.00,75.00 ± 0.00,50.00 ± 0.00
DeepSeek-R1-Distill-Llama-8B,13-17,none,MEMIT,1,33.33 ± 0.00,75.00 ± 0.00,50.00 ± 0.00
DeepSeek-R1-Distill-Llama-8B,1-5,none,MEMIT,10,30.81 ± 28.87,61.50 ± 31.31,61.00 ± 31.76
DeepSeek-R1-Distill-Llama-8B,1-5,lora,MEMIT,10,20.62 ± 20.97,33.00 ± 16.76,37.00 ± 21.93
DeepSeek-R1-Distill-Llama-8B,2-6,none,MEMIT,10,30.81 ± 28.87,61.50 ± 31.31,61.00 ± 31.76
DeepSeek-R1-Distill-Llama-8B,4-8,none,MEMIT,10,30.81 ± 28.87,61.50 ± 31.31,61.00 ± 31.76
DeepSeek-R1-Distill-Llama-8B,13-17,none,MEMIT,10,30.81 ± 28.87,61.50 ± 31.31,61.00 ± 31.76
DeepSeek-R1-Distill-Llama-8B,1-5,lora,MEMIT,100,20.77 ± 23.09,22.85 ± 23.08,23.92 ± 22.77
DeepSeek-R1-Distill-Llama-8B,1-5,none,MEMIT,100,31.83 ± 27.23,30.15 ± 28.21,32.85 ± 28.01
DeepSeek-R1-Distill-Llama-8B,2-6,none,MEMIT,100,31.89 ± 27.34,31.82 ± 28.45,31.19 ± 28.23
DeepSeek-R1-Distill-Llama-8B,4-8,none,MEMIT,100,32.06 ± 26.91,29.57 ± 28.52,28.69 ± 28.56
DeepSeek-R1-Distill-Llama-8B,13-17,none,MEMIT,100,32.42 ± 26.99,30.15 ± 31.12,31.10 ± 33.04
